1,4,"Demasiado bueno para ser real","media/8.mp4"
2,9,"Buenísimo el tema del hilo","media/6.mp4"
3,6,"¿Alguien más notó eso?","media/8.mp4"
4,2,"Qué extraño, pero interesante","media/1.mp4"
5,3,"Buenísimo el tema del hilo","media/11.mp4"
6,4,"Simple y perfecto","media/1.mp4"
7,5,"Me recuerda a un sueño que tuve",""
8,2,"Esto es arte puro","media/1.mp4"
9,9,"Esto es arte puro","media/13.mp4"
10,7,"¿Alguien más notó eso?","media/7.mp4"
11,10,"No entiendo pero me gusta","media/9.mp4"
12,9,"Lo compartí con todos","media/9.mp4"
13,2,"Qué extraño, pero interesante","media/10.mp4"
14,6,"Lo guardaré para más tarde","media/2.mp4"
15,9,"Parece sacado de otro mundo","media/9.mp4"
16,8,"Simple y perfecto","media/12.mp4"
17,2,"Me hizo el día este video","media/11.mp4"
18,8,"Qué extraño, pero interesante","media/9.mp4"
19,10,"Me recuerda a un sueño que tuve","media/10.mp4"
20,4,"Me da paz verlo","media/2.mp4"
21,3,"Más de esto por favor","media/5.mp4"
22,6,"Me da paz verlo","media/13.mp4"
23,10,"Lo guardaré para más tarde","media/10.mp4"
24,3,"Qué extraño, pero interesante","media/10.mp4"
25,2,"Qué extraño, pero interesante","media/5.mp4"
26,5,"Parece sacado de otro mundo","media/10.mp4"
27,9,"Lo compartí con todos","media/2.mp4"
28,9,"Simple y perfecto","media/7.mp4"
29,3,"Me da paz verlo","media/4.mp4"
30,6,"Qué extraño, pero interesante","media/4.mp4"
31,7,"Me hizo el día este video","media/9.mp4"
32,5,"No entiendo pero me gusta","media/5.mp4"
33,3,"¿Fuente?","media/3.mp4"
34,6,"No entiendo pero me gusta","media/5.mp4"
35,7,"¿Fuente?","media/9.mp4"
36,4,"No entiendo pero me gusta","media/6.mp4"
37,7,"Más de esto por favor","media/6.mp4"
38,3,"¡Excelente aporte!","media/6.mp4"
39,7,"Más de esto por favor","media/4.mp4"
40,3,"¿Alguien más notó eso?",""
41,8,"¡Excelente aporte!","media/2.mp4"
42,4,"Simple y perfecto","media/7.mp4"
43,7,"Me hizo el día este video","media/9.mp4"
44,3,"Lo guardaré para más tarde","media/6.mp4"
45,9,"Más de esto por favor","media/8.mp4"
46,5,"No entiendo pero me gusta","media/9.mp4"
47,2,"Lo compartí con todos","media/2.mp4"
48,9,"Me da paz verlo","media/11.mp4"
49,5,"Parece sacado de otro mundo","media/13.mp4"
50,8,"No entiendo pero me gusta",""
